 ra        dec       radius SpT   DM    PMra  PMdec    SPM    mem    memp   mem1
 44.39969  45.61918  6.0814 187   5.89  16.20  -6.30   1.80   0.00   0.00   0.00
 44.54773  44.81953  6.5254 150   6.50 -14.60 -17.30   0.80   0.00   0.00   0.00
 45.07068  45.13602  6.0393 184   5.21  44.80 -24.60   0.60   0.00   0.00   0.00
 45.27045  45.51535  5.6789 190   6.11  11.50 -12.80   0.60   0.00   0.00   0.00
 45.28358  44.88834  6.1076 151   5.96  56.10 -34.00   0.60   0.00   0.00   0.00
 45.29183  44.89700  6.0973 182   6.06  57.70 -34.90   0.60   0.00   0.00   0.00
 45.31858  45.81165  5.4602 185   4.38  33.70 -39.70   0.80   0.00   0.00   0.00
 44.36512  46.53279  5.5891 203   4.74  39.40 -14.90   0.70   0.00   0.00   0.00
 45.27760  46.83909  4.8940 116   6.57  10.50 -12.40   0.70   0.00   0.00   0.00
 45.74491  47.54131  4.2917 205   6.68  17.80 -17.00   1.50   0.00   0.00   0.00
 44.04735  49.40871  5.0326 212   5.91  15.50  -3.80   0.80   0.00   0.00   0.00
 44.11554  49.90533  5.0164 182   6.59  22.60 -24.00   0.80   9.28   5.74   3.90
 44.12925  49.79272  4.9969 111   5.26  14.00 -10.10   0.70   0.00   0.00   0.00
 44.41841  48.76979  4.8261 201   6.22   4.80 -23.30   0.90   0.00   0.00   0.00
 45.11210  48.82175  4.3662 192   6.41  17.90 -16.80   1.20   0.00   0.00   0.00
 45.30881  48.85960  4.2334 167   5.96  16.80 -16.50   0.90   0.00   0.00   0.00
 45.65297  49.99025  4.0486 171   6.49  23.50 -22.80   1.00  16.96   7.55   5.94
 45.70691  48.91715  3.9673 209   6.38  18.50 -21.60   1.70   0.79   0.96   0.47
 45.97728  49.71702  3.8015 126   6.39  12.00 -17.10   0.80   0.00   0.00   0.00
 43.98365  51.70590  5.5799 183   5.04  30.50 -20.30   0.90   0.00   0.00   0.00
 44.06257  51.39002  5.4105 207   6.00  34.40 -13.50   1.00   0.00   0.00   0.00
 44.25424  50.15071  4.9605 208   5.68  15.10  -8.60   0.70   0.00   0.00   0.00
 44.85637  51.43554  4.9741 201   6.54  21.40  -8.00   0.60   0.00   0.00   0.00
 45.54312  51.44002  4.5929 155   5.67 -11.70 -28.80   0.60   0.00   0.00   0.00
 45.79494  51.42469  4.4475 128   6.46  22.10 -22.60   0.60  10.27   5.59   4.03
 44.55560  53.79344  6.4697  60   6.02  24.30  -5.20   0.70   0.00   0.00   0.00
 44.72782  53.22697  6.0157 186   6.13  21.70 -23.00   1.20   6.79   4.96   3.20
 45.09169  52.64690  5.4811 190   6.16  -3.00 -14.70   0.60   0.00   0.00   0.00
 46.08886  44.63549  5.9199 218   6.02  54.90 -34.40   0.70   0.00   0.00   0.00
 47.18526  45.40199  4.8376 210   6.27  30.80 -20.80   0.90   0.00   0.00   0.00
 47.35086  45.38302  4.7817  48   6.65  23.20 -22.40   0.60   2.12   1.72   1.01
 47.80962  45.01900  4.8996  64   5.80  16.20 -15.80   0.80   0.00   0.00   0.00
 48.00803  45.42989  4.4779 218   6.67  -8.50 -14.40   0.60   0.00   0.00   0.00
 46.41249  47.21115  4.0382 196   5.91  16.70 -12.20   0.90   0.00   0.00   0.00
 46.68946  46.88536  4.0556 192   5.40  23.10 -49.10   0.90   0.00   0.00   0.00
 46.74211  46.95346  3.9870 209   6.22  17.90 -35.30   0.60   0.00   0.01   0.00
 47.14555  46.28082  4.2014 137   6.12  38.10 -13.20   0.70   0.00   0.00   0.00
 47.99527  46.12865  3.9172 130   4.15  54.90 -23.90   0.50   0.00   0.00   0.00
 45.97728  49.71702  3.8015 126   6.39  12.00 -17.10   0.80   0.00   0.00   0.00
 46.26343  49.71865  3.6181 123   5.49  15.90 -12.30   0.70   0.00   0.00   0.00
 46.36075  48.01174  3.7336 101   6.06  39.10 -57.50   1.90   0.00   0.00   0.00
 46.54637  49.52148  3.4148 201   5.63  11.10 -11.20   0.80   0.00   0.00   0.00
 46.67931  48.37693  3.4243 207   6.56  40.80 -27.40   3.60   0.00   0.00   0.00
 46.83402  49.09951  3.2176 187   6.57  24.80 -10.80   0.80   0.00   0.00   0.00
